№,Code,Brow.,Chart,Applᵈ,Goog,Twtr.,One,FB,FBM,Sams.,Wind.,GMail,SB,DCM,KDDI,Name,Date,Keywords
960,U+1F93E U+1F3FC U+200D U+2642 U+FE0F,🤾🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man playing handball: medium-light skin tone,2016,handball | man | medium-light skin tone
961,U+1F93E U+1F3FD U+200D U+2642 U+FE0F,🤾🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man playing handball: medium skin tone,2016,handball | man | medium skin tone
962,U+1F93E U+1F3FE U+200D U+2642 U+FE0F,🤾🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man playing handball: medium-dark skin tone,2016,handball | man | medium-dark skin tone
963,U+1F93E U+1F3FF U+200D U+2642 U+FE0F,🤾🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man playing handball: dark skin tone,2016,dark skin tone | handball | man
964,U+1F93E U+200D U+2640 U+FE0F,🤾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman playing handball,2016,handball | woman
965,U+1F93E U+1F3FB U+200D U+2640 U+FE0F,🤾🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman playing handball: light skin tone,2016,handball | light skin tone | woman
966,U+1F93E U+1F3FC U+200D U+2640 U+FE0F,🤾🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman playing handball: medium-light skin tone,2016,handball | medium-light skin tone | woman
967,U+1F93E U+1F3FD U+200D U+2640 U+FE0F,🤾🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman playing handball: medium skin tone,2016,handball | medium skin tone | woman
968,U+1F93E U+1F3FE U+200D U+2640 U+FE0F,🤾🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman playing handball: medium-dark skin tone,2016,handball | medium-dark skin tone | woman
969,U+1F93E U+1F3FF U+200D U+2640 U+FE0F,🤾🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman playing handball: dark skin tone,2016,dark skin tone | handball | woman
970,U+1F939,🤹,,,,,,—,—,,,—,—,—,—,person juggling,2016,balance | juggle | multitask | skill
971,U+1F939 U+1F3FB,🤹🏻,—,,,,,—,—,,,—,—,—,—,person juggling: light skin tone,2016,balance | juggle | light skin tone | multitask | skill
972,U+1F939 U+1F3FC,🤹🏼,—,,,,,—,—,,,—,—,—,—,person juggling: medium-light skin tone,2016,balance | juggle | medium-light skin tone | multitask | skill
973,U+1F939 U+1F3FD,🤹🏽,—,,,,,—,—,,,—,—,—,—,person juggling: medium skin tone,2016,balance | juggle | medium skin tone | multitask | skill
974,U+1F939 U+1F3FE,🤹🏾,—,,,,,—,—,,,—,—,—,—,person juggling: medium-dark skin tone,2016,balance | juggle | medium-dark skin tone | multitask | skill
975,U+1F939 U+1F3FF,🤹🏿,—,,,,,—,—,,,—,—,—,—,person juggling: dark skin tone,2016,balance | dark skin tone | juggle | multitask | skill
976,U+1F939 U+200D U+2642 U+FE0F,🤹‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man juggling,2016,juggling | man | multitask
977,U+1F939 U+1F3FB U+200D U+2642 U+FE0F,🤹🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man juggling: light skin tone,2016,juggling | light skin tone | man | multitask
978,U+1F939 U+1F3FC U+200D U+2642 U+FE0F,🤹🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man juggling: medium-light skin tone,2016,juggling | man | medium-light skin tone | multitask
979,U+1F939 U+1F3FD U+200D U+2642 U+FE0F,🤹🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man juggling: medium skin tone,2016,juggling | man | medium skin tone | multitask
980,U+1F939 U+1F3FE U+200D U+2642 U+FE0F,🤹🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man juggling: medium-dark skin tone,2016,juggling | man | medium-dark skin tone | multitask
981,U+1F939 U+1F3FF U+200D U+2642 U+FE0F,🤹🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man juggling: dark skin tone,2016,dark skin tone | juggling | man | multitask
982,U+1F939 U+200D U+2640 U+FE0F,🤹‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman juggling,2016,juggling | multitask | woman
983,U+1F939 U+1F3FB U+200D U+2640 U+FE0F,🤹🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman juggling: light skin tone,2016,juggling | light skin tone | multitask | woman
984,U+1F939 U+1F3FC U+200D U+2640 U+FE0F,🤹🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman juggling: medium-light skin tone,2016,juggling | medium-light skin tone | multitask | woman
985,U+1F939 U+1F3FD U+200D U+2640 U+FE0F,🤹🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman juggling: medium skin tone,2016,juggling | medium skin tone | multitask | woman
986,U+1F939 U+1F3FE U+200D U+2640 U+FE0F,🤹🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman juggling: medium-dark skin tone,2016,juggling | medium-dark skin tone | multitask | woman
987,U+1F939 U+1F3FF U+200D U+2640 U+FE0F,🤹🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman juggling: dark skin tone,2016,dark skin tone | juggling | multitask | woman
988,U+1F46B,👫,,,,,,,,,,,,—,—,man and woman holding hands,2010,couple | hand | hold | man | woman
989,U+1F46C,👬,,,,,,,,,,—,—,—,—,two men holding hands,2010,couple | Gemini | hand | hold | man | twins | zodiac
990,U+1F46D,👭,,,,,,,,,,—,—,—,—,two women holding hands,2010,couple | hand | hold | woman
991,U+1F48F,💏,,,,,,,,,,,,—,,kiss,2010,couple
992,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👩‍❤️‍💋‍👨,—,,,,,—,,,,—,—,—,—,kiss: woman, man,2010,couple | man | woman
993,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👨‍❤️‍💋‍👨,—,,,,,,,,,—,—,—,—,kiss: man, man,2010,couple | man
994,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,👩‍❤️‍💋‍👩,—,,,,,,,,,—,—,—,—,kiss: woman, woman,2010,couple | woman
995,U+1F491,💑,,,,,,,,,,,,—,,couple with heart,2010,couple | love
996,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,👩‍❤️‍👨,—,,,,,—,,,,—,—,—,—,couple with heart: woman, man,2010,couple | love | man | woman
997,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,👨‍❤️‍👨,—,,,,,,,,,—,—,—,—,couple with heart: man, man,2010,couple | love | man
998,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,👩‍❤️‍👩,—,,,,,,,,,—,—,—,—,couple with heart: woman, woman,2010,couple | love | woman
999,U+1F46A,👪,,,,,,—,,,—,,—,—,,family,2010,family
1000,U+1F468 U+200D U+1F469 U+200D U+1F466,👨‍👩‍👦,—,,,,,,,,,—,—,—,—,family: man, woman, boy,2010,boy | family | man | woman
1001,U+1F468 U+200D U+1F469 U+200D U+1F467,👨‍👩‍👧,—,,,,,,,,,—,—,—,—,family: man, woman, girl,2010,family | girl | man | woman
1002,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👨‍👩‍👧‍👦,—,,,,,,,,,—,—,—,—,family: man, woman, girl, boy,2010,boy | family | girl | man | woman
1003,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👨‍👩‍👦‍👦,—,,,,,,,,,—,—,—,—,family: man, woman, boy, boy,2010,boy | family | man | woman
1004,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👨‍👩‍👧‍👧,—,,,,,,,,,—,—,—,—,family: man, woman, girl, girl,2010,family | girl | man | woman
1005,U+1F468 U+200D U+1F468 U+200D U+1F466,👨‍👨‍👦,—,,,,,,,,,—,—,—,—,family: man, man, boy,2010,boy | family | man
1006,U+1F468 U+200D U+1F468 U+200D U+1F467,👨‍👨‍👧,—,,,,,,,,,—,—,—,—,family: man, man, girl,2010,family | girl | man
1007,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👨‍👧‍👦,—,,,,,,,,,—,—,—,—,family: man, man, girl, boy,2010,boy | family | girl | man
1008,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👨‍👦‍👦,—,,,,,,,,,—,—,—,—,family: man, man, boy, boy,2010,boy | family | man
1009,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👨‍👧‍👧,—,,,,,,,,,—,—,—,—,family: man, man, girl, girl,2010,family | girl | man
1010,U+1F469 U+200D U+1F469 U+200D U+1F466,👩‍👩‍👦,—,,,,,,,,,—,—,—,—,family: woman, woman, boy,2010,boy | family | woman
1011,U+1F469 U+200D U+1F469 U+200D U+1F467,👩‍👩‍👧,—,,,,,,,,,—,—,—,—,family: woman, woman, girl,2010,family | girl | woman
1012,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👩‍👧‍👦,—,,,,,,,,,—,—,—,—,family: woman, woman, girl, boy,2010,boy | family | girl | woman
1013,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👩‍👦‍👦,—,,,,,,,,,—,—,—,—,family: woman, woman, boy, boy,2010,boy | family | woman
1014,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👩‍👧‍👧,—,,,,,,,,,—,—,—,—,family: woman, woman, girl, girl,2010,family | girl | woman
1015,U+1F468 U+200D U+1F466,👨‍👦,—,,,,—,—,—,—,—,—,—,—,—,family: man, boy,2010,boy | family | man
1016,U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👦‍👦,—,,,,—,—,—,—,—,—,—,—,—,family: man, boy, boy,2010,boy | family | man
1017,U+1F468 U+200D U+1F467,👨‍👧,—,,,,—,—,—,—,—,—,—,—,—,family: man, girl,2010,family | girl | man
1018,U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👧‍👦,—,,,,—,—,—,—,—,—,—,—,—,family: man, girl, boy,2010,boy | family | girl | man
1019,U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👧‍👧,—,,,,—,—,—,—,—,—,—,—,—,family: man, girl, girl,2010,family | girl | man
1020,U+1F469 U+200D U+1F466,👩‍👦,—,,,,—,—,—,—,—,—,—,—,—,family: woman, boy,2010,boy | family | woman
1021,U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👦‍👦,—,,,,—,—,—,—,—,—,—,—,—,family: woman, boy, boy,2010,boy | family | woman
1022,U+1F469 U+200D U+1F467,👩‍👧,—,,,,—,—,—,—,—,—,—,—,—,family: woman, girl,2010,family | girl | woman
1023,U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👧‍👦,—,,,,—,—,—,—,—,—,—,—,—,family: woman, girl, boy,2010,boy | family | girl | woman
1024,U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👧‍👧,—,,,,—,—,—,—,—,—,—,—,—,family: woman, girl, girl,2010,family | girl | woman
1025,U+1F3FB,🏻,,,,,,,—,,,—,—,—,—,light skin tone,2015,skin tone | type 1–2
1026,U+1F3FC,🏼,,,,,,,—,,,—,—,—,—,medium-light skin tone,2015,skin tone | type 3
1027,U+1F3FD,🏽,,,,,,,—,,,—,—,—,—,medium skin tone,2015,skin tone | type 4
1028,U+1F3FE,🏾,,,,,,,—,,,—,—,—,—,medium-dark skin tone,2015,skin tone | type 5
1029,U+1F3FF,🏿,,,,,,,—,,,—,—,—,—,dark skin tone,2015,skin tone | type 6
1030,U+1F4AA,💪,,,,,,,,,,,,—,,flexed biceps,2010,biceps | comic | flex | muscle
1031,U+1F4AA U+1F3FB,💪🏻,—,,,,,,,,,—,—,—,—,flexed biceps: light skin tone,2015,biceps | comic | flex | light skin tone | muscle
1032,U+1F4AA U+1F3FC,💪🏼,—,,,,,,,,,—,—,—,—,flexed biceps: medium-light skin tone,2015,biceps | comic | flex | medium-light skin tone | muscle
1033,U+1F4AA U+1F3FD,💪🏽,—,,,,,,,,,—,—,—,—,flexed biceps: medium skin tone,2015,biceps | comic | flex | medium skin tone | muscle
1034,U+1F4AA U+1F3FE,💪🏾,—,,,,,,,,,—,—,—,—,flexed biceps: medium-dark skin tone,2015,biceps | comic | flex | medium-dark skin tone | muscle
1035,U+1F4AA U+1F3FF,💪🏿,—,,,,,,,,,—,—,—,—,flexed biceps: dark skin tone,2015,biceps | comic | dark skin tone | flex | muscle
1036,U+1F933,🤳,,,,,,—,—,,,—,—,—,—,selfie,2016,camera | phone | selfie
1037,U+1F933 U+1F3FB,🤳🏻,—,,,,,—,—,,,—,—,—,—,selfie: light skin tone,2016,camera | light skin tone | phone | selfie
1038,U+1F933 U+1F3FC,🤳🏼,—,,,,,—,—,,,—,—,—,—,selfie: medium-light skin tone,2016,camera | medium-light skin tone | phone | selfie
1039,U+1F933 U+1F3FD,🤳🏽,—,,,,,—,—,,,—,—,—,—,selfie: medium skin tone,2016,camera | medium skin tone | phone | selfie
1040,U+1F933 U+1F3FE,🤳🏾,—,,,,,—,—,,,—,—,—,—,selfie: medium-dark skin tone,2016,camera | medium-dark skin tone | phone | selfie
1041,U+1F933 U+1F3FF,🤳🏿,—,,,,,—,—,,,—,—,—,—,selfie: dark skin tone,2016,camera | dark skin tone | phone | selfie
1042,U+1F448,👈,,,,,,,,,,,,—,,backhand index pointing left,2010,backhand | finger | hand | index | point
1043,U+1F448 U+1F3FB,👈🏻,—,,,,,,,,,—,—,—,—,backhand index pointing left: light skin tone,2015,backhand | finger | hand | index | light skin tone | point
1044,U+1F448 U+1F3FC,👈🏼,—,,,,,,,,,—,—,—,—,backhand index pointing left: medium-light skin tone,2015,backhand | finger | hand | index | medium-light skin tone | point
1045,U+1F448 U+1F3FD,👈🏽,—,,,,,,,,,—,—,—,—,backhand index pointing left: medium skin tone,2015,backhand | finger | hand | index | medium skin tone | point
1046,U+1F448 U+1F3FE,👈🏾,—,,,,,,,,,—,—,—,—,backhand index pointing left: medium-dark skin tone,2015,backhand | finger | hand | index | medium-dark skin tone | point
1047,U+1F448 U+1F3FF,👈🏿,—,,,,,,,,,—,—,—,—,backhand index pointing left: dark skin tone,2015,backhand | dark skin tone | finger | hand | index | point
1048,U+1F449,👉,,,,,,,,,,,,—,,backhand index pointing right,2010,backhand | finger | hand | index | point
1049,U+1F449 U+1F3FB,👉🏻,—,,,,,,,,,—,—,—,—,backhand index pointing right: light skin tone,2015,backhand | finger | hand | index | light skin tone | point
1050,U+1F449 U+1F3FC,👉🏼,—,,,,,,,,,—,—,—,—,backhand index pointing right: medium-light skin tone,2015,backhand | finger | hand | index | medium-light skin tone | point
1051,U+1F449 U+1F3FD,👉🏽,—,,,,,,,,,—,—,—,—,backhand index pointing right: medium skin tone,2015,backhand | finger | hand | index | medium skin tone | point
1052,U+1F449 U+1F3FE,👉🏾,—,,,,,,,,,—,—,—,—,backhand index pointing right: medium-dark skin tone,2015,backhand | finger | hand | index | medium-dark skin tone | point
1053,U+1F449 U+1F3FF,👉🏿,—,,,,,,,,,—,—,—,—,backhand index pointing right: dark skin tone,2015,backhand | dark skin tone | finger | hand | index | point
1054,U+261D,☝,,,,,,,,,,,,—,,index pointing up,1995,finger | hand | index | point | up
1055,U+261D U+1F3FB,☝🏻,—,,,,,,,,,—,—,—,—,index pointing up: light skin tone,2015,finger | hand | index | light skin tone | point | up
1056,U+261D U+1F3FC,☝🏼,—,,,,,,,,,—,—,—,—,index pointing up: medium-light skin tone,2015,finger | hand | index | medium-light skin tone | point | up
1057,U+261D U+1F3FD,☝🏽,—,,,,,,,,,—,—,—,—,index pointing up: medium skin tone,2015,finger | hand | index | medium skin tone | point | up
1058,U+261D U+1F3FE,☝🏾,—,,,,,,,,,—,—,—,—,index pointing up: medium-dark skin tone,2015,finger | hand | index | medium-dark skin tone | point | up
1059,U+261D U+1F3FF,☝🏿,—,,,,,,,,,—,—,—,—,index pointing up: dark skin tone,2015,dark skin tone | finger | hand | index | point | up
1060,U+1F446,👆,,,,,,,,,,,,—,,backhand index pointing up,2010,backhand | finger | hand | index | point | up
1061,U+1F446 U+1F3FB,👆🏻,—,,,,,,,,,—,—,—,—,backhand index pointing up: light skin tone,2015,backhand | finger | hand | index | light skin tone | point | up
1062,U+1F446 U+1F3FC,👆🏼,—,,,,,,,,,—,—,—,—,backhand index pointing up: medium-light skin tone,2015,backhand | finger | hand | index | medium-light skin tone | point | up
1063,U+1F446 U+1F3FD,👆🏽,—,,,,,,,,,—,—,—,—,backhand index pointing up: medium skin tone,2015,backhand | finger | hand | index | medium skin tone | point | up
1064,U+1F446 U+1F3FE,👆🏾,—,,,,,,,,,—,—,—,—,backhand index pointing up: medium-dark skin tone,2015,backhand | finger | hand | index | medium-dark skin tone | point | up
1065,U+1F446 U+1F3FF,👆🏿,—,,,,,,,,,—,—,—,—,backhand index pointing up: dark skin tone,2015,backhand | dark skin tone | finger | hand | index | point | up
1066,U+1F595,🖕,,,,,,,—,,,—,—,—,—,middle finger,2014,finger | hand
1067,U+1F595 U+1F3FB,🖕🏻,—,,,,,,—,,,—,—,—,—,middle finger: light skin tone,2015,finger | hand | light skin tone
1068,U+1F595 U+1F3FC,🖕🏼,—,,,,,,—,,,—,—,—,—,middle finger: medium-light skin tone,2015,finger | hand | medium-light skin tone
1069,U+1F595 U+1F3FD,🖕🏽,—,,,,,,—,,,—,—,—,—,middle finger: medium skin tone,2015,finger | hand | medium skin tone
1070,U+1F595 U+1F3FE,🖕🏾,—,,,,,,—,,,—,—,—,—,middle finger: medium-dark skin tone,2015,finger | hand | medium-dark skin tone
1071,U+1F595 U+1F3FF,🖕🏿,—,,,,,,—,,,—,—,—,—,middle finger: dark skin tone,2015,dark skin tone | finger | hand
1072,U+1F447,👇,,,,,,,,,,,,—,,backhand index pointing down,2010,backhand | down | finger | hand | index | point
1073,U+1F447 U+1F3FB,👇🏻,—,,,,,,,,,—,—,—,—,backhand index pointing down: light skin tone,2015,backhand | down | finger | hand | index | light skin tone | point
1074,U+1F447 U+1F3FC,👇🏼,—,,,,,,,,,—,—,—,—,backhand index pointing down: medium-light skin tone,2015,backhand | down | finger | hand | index | medium-light skin tone | point
1075,U+1F447 U+1F3FD,👇🏽,—,,,,,,,,,—,—,—,—,backhand index pointing down: medium skin tone,2015,backhand | down | finger | hand | index | medium skin tone | point
1076,U+1F447 U+1F3FE,👇🏾,—,,,,,,,,,—,—,—,—,backhand index pointing down: medium-dark skin tone,2015,backhand | down | finger | hand | index | medium-dark skin tone | point
1077,U+1F447 U+1F3FF,👇🏿,—,,,,,,,,,—,—,—,—,backhand index pointing down: dark skin tone,2015,backhand | dark skin tone | down | finger | hand | index | point
1078,U+270C,✌,,,,,,,,,,,,,,victory hand,1995ᶻ,hand | v | victory
1079,U+270C U+1F3FB,✌🏻,—,,,,,,,,,—,—,—,—,victory hand: light skin tone,2015,hand | light skin tone | v | victory
1080,U+270C U+1F3FC,✌🏼,—,,,,,,,,,—,—,—,—,victory hand: medium-light skin tone,2015,hand | medium-light skin tone | v | victory
1081,U+270C U+1F3FD,✌🏽,—,,,,,,,,,—,—,—,—,victory hand: medium skin tone,2015,hand | medium skin tone | v | victory
1082,U+270C U+1F3FE,✌🏾,—,,,,,,,,,—,—,—,—,victory hand: medium-dark skin tone,2015,hand | medium-dark skin tone | v | victory
1083,U+270C U+1F3FF,✌🏿,—,,,,,,,,,—,—,—,—,victory hand: dark skin tone,2015,dark skin tone | hand | v | victory
1084,U+1F91E,🤞,,,,,,—,—,,,—,—,—,—,crossed fingers,2016,cross | finger | hand | luck
1085,U+1F91E U+1F3FB,🤞🏻,—,,,,,—,—,,,—,—,—,—,crossed fingers: light skin tone,2016,cross | finger | hand | light skin tone | luck
1086,U+1F91E U+1F3FC,🤞🏼,—,,,,,—,—,,,—,—,—,—,crossed fingers: medium-light skin tone,2016,cross | finger | hand | luck | medium-light skin tone
1087,U+1F91E U+1F3FD,🤞🏽,—,,,,,—,—,,,—,—,—,—,crossed fingers: medium skin tone,2016,cross | finger | hand | luck | medium skin tone
1088,U+1F91E U+1F3FE,🤞🏾,—,,,,,—,—,,,—,—,—,—,crossed fingers: medium-dark skin tone,2016,cross | finger | hand | luck | medium-dark skin tone
1089,U+1F91E U+1F3FF,🤞🏿,—,,,,,—,—,,,—,—,—,—,crossed fingers: dark skin tone,2016,cross | dark skin tone | finger | hand | luck
1090,U+1F596,🖖,,,,,,,—,,,—,—,—,—,vulcan salute,2014,finger | hand | spock | vulcan
1091,U+1F596 U+1F3FB,🖖🏻,—,,,,,,—,,,—,—,—,—,vulcan salute: light skin tone,2015,finger | hand | light skin tone | spock | vulcan
1092,U+1F596 U+1F3FC,🖖🏼,—,,,,,,—,,,—,—,—,—,vulcan salute: medium-light skin tone,2015,finger | hand | medium-light skin tone | spock | vulcan
1093,U+1F596 U+1F3FD,🖖🏽,—,,,,,,—,,,—,—,—,—,vulcan salute: medium skin tone,2015,finger | hand | medium skin tone | spock | vulcan
1094,U+1F596 U+1F3FE,🖖🏾,—,,,,,,—,,,—,—,—,—,vulcan salute: medium-dark skin tone,2015,finger | hand | medium-dark skin tone | spock | vulcan
1095,U+1F596 U+1F3FF,🖖🏿,—,,,,,,—,,,—,—,—,—,vulcan salute: dark skin tone,2015,dark skin tone | finger | hand | spock | vulcan
1096,U+1F918,🤘,,,,,,,—,,,—,—,—,—,sign of the horns,2015,finger | hand | horns | rock-on
1097,U+1F918 U+1F3FB,🤘🏻,—,,,,,,—,,,—,—,—,—,sign of the horns: light skin tone,2015,finger | hand | horns | light skin tone | rock-on
1098,U+1F918 U+1F3FC,🤘🏼,—,,,,,,—,,,—,—,—,—,sign of the horns: medium-light skin tone,2015,finger | hand | horns | medium-light skin tone | rock-on
1099,U+1F918 U+1F3FD,🤘🏽,—,,,,,,—,,,—,—,—,—,sign of the horns: medium skin tone,2015,finger | hand | horns | medium skin tone | rock-on
1100,U+1F918 U+1F3FE,🤘🏾,—,,,,,,—,,,—,—,—,—,sign of the horns: medium-dark skin tone,2015,finger | hand | horns | medium-dark skin tone | rock-on
1101,U+1F918 U+1F3FF,🤘🏿,—,,,,,,—,,,—,—,—,—,sign of the horns: dark skin tone,2015,dark skin tone | finger | hand | horns | rock-on
1102,U+1F919,🤙,,,,,,—,—,,,—,—,—,—,call me hand,2016,call | hand
1103,U+1F919 U+1F3FB,🤙🏻,—,,,,,—,—,,,—,—,—,—,call me hand: light skin tone,2016,call | hand | light skin tone
1104,U+1F919 U+1F3FC,🤙🏼,—,,,,,—,—,,,—,—,—,—,call me hand: medium-light skin tone,2016,call | hand | medium-light skin tone
1105,U+1F919 U+1F3FD,🤙🏽,—,,,,,—,—,,,—,—,—,—,call me hand: medium skin tone,2016,call | hand | medium skin tone
1106,U+1F919 U+1F3FE,🤙🏾,—,,,,,—,—,,,—,—,—,—,call me hand: medium-dark skin tone,2016,call | hand | medium-dark skin tone
1107,U+1F919 U+1F3FF,🤙🏿,—,,,,,—,—,,,—,—,—,—,call me hand: dark skin tone,2016,call | dark skin tone | hand
1108,U+1F590,🖐,,,,,,,—,,,—,—,—,—,raised hand with fingers splayed,2014,finger | hand | splayed
1109,U+1F590 U+1F3FB,🖐🏻,—,,,,,,—,,,—,—,—,—,raised hand with fingers splayed: light skin tone,2015,finger | hand | light skin tone | splayed
1110,U+1F590 U+1F3FC,🖐🏼,—,,,,,,—,,,—,—,—,—,raised hand with fingers splayed: medium-light skin tone,2015,finger | hand | medium-light skin tone | splayed
1111,U+1F590 U+1F3FD,🖐🏽,—,,,,,,—,,,—,—,—,—,raised hand with fingers splayed: medium skin tone,2015,finger | hand | medium skin tone | splayed
1112,U+1F590 U+1F3FE,🖐🏾,—,,,,,,—,,,—,—,—,—,raised hand with fingers splayed: medium-dark skin tone,2015,finger | hand | medium-dark skin tone | splayed
1113,U+1F590 U+1F3FF,🖐🏿,—,,,,,,—,,,—,—,—,—,raised hand with fingers splayed: dark skin tone,2015,dark skin tone | finger | hand | splayed
1114,U+270B,✋,,,,,,,,,,,,,,raised hand,2010,hand
1115,U+270B U+1F3FB,✋🏻,—,,,,,,,,,—,—,—,—,raised hand: light skin tone,2015,hand | light skin tone
1116,U+270B U+1F3FC,✋🏼,—,,,,,,,,,—,—,—,—,raised hand: medium-light skin tone,2015,hand | medium-light skin tone
1117,U+270B U+1F3FD,✋🏽,—,,,,,,,,,—,—,—,—,raised hand: medium skin tone,2015,hand | medium skin tone
1118,U+270B U+1F3FE,✋🏾,—,,,,,,,,,—,—,—,—,raised hand: medium-dark skin tone,2015,hand | medium-dark skin tone
1119,U+270B U+1F3FF,✋🏿,—,,,,,,,,,—,—,—,—,raised hand: dark skin tone,2015,dark skin tone | hand
1120,U+1F44C,👌,,,,,,,,,,,,—,,OK hand,2010,hand | OK
1121,U+1F44C U+1F3FB,👌🏻,—,,,,,,,,,—,—,—,—,OK hand: light skin tone,2015,hand | light skin tone | OK
1122,U+1F44C U+1F3FC,👌🏼,—,,,,,,,,,—,—,—,—,OK hand: medium-light skin tone,2015,hand | medium-light skin tone | OK
1123,U+1F44C U+1F3FD,👌🏽,—,,,,,,,,,—,—,—,—,OK hand: medium skin tone,2015,hand | medium skin tone | OK
1124,U+1F44C U+1F3FE,👌🏾,—,,,,,,,,,—,—,—,—,OK hand: medium-dark skin tone,2015,hand | medium-dark skin tone | OK
1125,U+1F44C U+1F3FF,👌🏿,—,,,,,,,,,—,—,—,—,OK hand: dark skin tone,2015,dark skin tone | hand | OK
1126,U+1F44D,👍,,,,,,,,,,,,,,thumbs up,2010,+1 | hand | thumb | up
1127,U+1F44D U+1F3FB,👍🏻,—,,,,,,,,,—,—,—,—,thumbs up: light skin tone,2015,+1 | hand | light skin tone | thumb | up
1128,U+1F44D U+1F3FC,👍🏼,—,,,,,,,,,—,—,—,—,thumbs up: medium-light skin tone,2015,+1 | hand | medium-light skin tone | thumb | up
1129,U+1F44D U+1F3FD,👍🏽,—,,,,,,,,,—,—,—,—,thumbs up: medium skin tone,2015,+1 | hand | medium skin tone | thumb | up
1130,U+1F44D U+1F3FE,👍🏾,—,,,,,,,,,—,—,—,—,thumbs up: medium-dark skin tone,2015,+1 | hand | medium-dark skin tone | thumb | up
1131,U+1F44D U+1F3FF,👍🏿,—,,,,,,,,,—,—,—,—,thumbs up: dark skin tone,2015,+1 | dark skin tone | hand | thumb | up
1132,U+1F44E,👎,,,,,,,,,,,,—,,thumbs down,2010,-1 | down | hand | thumb
1133,U+1F44E U+1F3FB,👎🏻,—,,,,,,,,,—,—,—,—,thumbs down: light skin tone,2015,-1 | down | hand | light skin tone | thumb
1134,U+1F44E U+1F3FC,👎🏼,—,,,,,,,,,—,—,—,—,thumbs down: medium-light skin tone,2015,-1 | down | hand | medium-light skin tone | thumb
1135,U+1F44E U+1F3FD,👎🏽,—,,,,,,,,,—,—,—,—,thumbs down: medium skin tone,2015,-1 | down | hand | medium skin tone | thumb
1136,U+1F44E U+1F3FE,👎🏾,—,,,,,,,,,—,—,—,—,thumbs down: medium-dark skin tone,2015,-1 | down | hand | medium-dark skin tone | thumb
1137,U+1F44E U+1F3FF,👎🏿,—,,,,,,,,,—,—,—,—,thumbs down: dark skin tone,2015,-1 | dark skin tone | down | hand | thumb
1138,U+270A,✊,,,,,,,,,,,,,,raised fist,2010,clenched | fist | hand | punch
1139,U+270A U+1F3FB,✊🏻,—,,,,,,,,,—,—,—,—,raised fist: light skin tone,2015,clenched | fist | hand | light skin tone | punch
1140,U+270A U+1F3FC,✊🏼,—,,,,,,,,,—,—,—,—,raised fist: medium-light skin tone,2015,clenched | fist | hand | medium-light skin tone | punch
