№,Code,Brow.,Chart,Applᵈ,Goog,Twtr.,One,FB,FBM,Sams.,Wind.,GMail,SB,DCM,KDDI,Name,Date,Keywords
87,U+1F63A,😺,,,,,,,,,,,—,—,,smiling cat face with open mouth,2010,cat | face | mouth | open | smile
88,U+1F638,😸,,,,,,,,,,,—,—,,grinning cat face with smiling eyes,2010,cat | eye | face | grin | smile
89,U+1F639,😹,,,,,,,,,,,—,—,,cat face with tears of joy,2010,cat | face | joy | tear
90,U+1F63B,😻,,,,,,,,,,,—,—,,smiling cat face with heart-eyes,2010,cat | eye | face | love | smile
91,U+1F63C,😼,,,,,,,,,,,—,—,,cat face with wry smile,2010,cat | face | ironic | smile | wry
92,U+1F63D,😽,,,,,,,,,,,—,—,,kissing cat face with closed eyes,2010,cat | eye | face | kiss
93,U+1F640,🙀,,,,,,,,,,,—,—,,weary cat face,2010,cat | face | oh | surprised | weary
94,U+1F63F,😿,,,,,,,,,,,—,—,,crying cat face,2010,cat | cry | face | sad | tear
95,U+1F63E,😾,,,,,,,,,,,—,—,,pouting cat face,2010,cat | face | pouting
96,U+1F648,🙈,,,,,,,,,,,—,—,,see-no-evil monkey,2010,evil | face | forbidden | gesture | monkey | no | not | prohibited | see
97,U+1F649,🙉,,,,,,,,,,,—,—,,hear-no-evil monkey,2010,evil | face | forbidden | gesture | hear | monkey | no | not | prohibited
98,U+1F64A,🙊,,,,,,,,,,,—,—,,speak-no-evil monkey,2010,evil | face | forbidden | gesture | monkey | no | not | prohibited | speak
99,U+1F466,👦,,,,,,,,,,,,—,—,boy,2010,boy | young
100,U+1F466 U+1F3FB,👦🏻,—,,,,,,,,,—,—,—,—,boy: light skin tone,2015,boy | light skin tone | young
101,U+1F466 U+1F3FC,👦🏼,—,,,,,,,,,—,—,—,—,boy: medium-light skin tone,2015,boy | medium-light skin tone | young
102,U+1F466 U+1F3FD,👦🏽,—,,,,,,,,,—,—,—,—,boy: medium skin tone,2015,boy | medium skin tone | young
103,U+1F466 U+1F3FE,👦🏾,—,,,,,,,,,—,—,—,—,boy: medium-dark skin tone,2015,boy | medium-dark skin tone | young
104,U+1F466 U+1F3FF,👦🏿,—,,,,,,,,,—,—,—,—,boy: dark skin tone,2015,boy | dark skin tone | young
105,U+1F467,👧,,,,,,,,,,,,—,—,girl,2010,Virgo | young | zodiac
106,U+1F467 U+1F3FB,👧🏻,—,,,,,,,,,—,—,—,—,girl: light skin tone,2015,light skin tone | Virgo | young | zodiac
107,U+1F467 U+1F3FC,👧🏼,—,,,,,,,,,—,—,—,—,girl: medium-light skin tone,2015,medium-light skin tone | Virgo | young | zodiac
108,U+1F467 U+1F3FD,👧🏽,—,,,,,,,,,—,—,—,—,girl: medium skin tone,2015,medium skin tone | Virgo | young | zodiac
109,U+1F467 U+1F3FE,👧🏾,—,,,,,,,,,—,—,—,—,girl: medium-dark skin tone,2015,medium-dark skin tone | Virgo | young | zodiac
110,U+1F467 U+1F3FF,👧🏿,—,,,,,,,,,—,—,—,—,girl: dark skin tone,2015,dark skin tone | Virgo | young | zodiac
111,U+1F468,👨,,,,,,,,,,,,—,,man,2010,man
112,U+1F468 U+1F3FB,👨🏻,—,,,,,,,,,—,—,—,—,man: light skin tone,2015,light skin tone | man
113,U+1F468 U+1F3FC,👨🏼,—,,,,,,,,,—,—,—,—,man: medium-light skin tone,2015,man | medium-light skin tone
114,U+1F468 U+1F3FD,👨🏽,—,,,,,,,,,—,—,—,—,man: medium skin tone,2015,man | medium skin tone
115,U+1F468 U+1F3FE,👨🏾,—,,,,,,,,,—,—,—,—,man: medium-dark skin tone,2015,man | medium-dark skin tone
116,U+1F468 U+1F3FF,👨🏿,—,,,,,,,,,—,—,—,—,man: dark skin tone,2015,dark skin tone | man
117,U+1F469,👩,,,,,,,,,,,,—,,woman,2010,woman
118,U+1F469 U+1F3FB,👩🏻,—,,,,,,,,,—,—,—,—,woman: light skin tone,2015,light skin tone | woman
119,U+1F469 U+1F3FC,👩🏼,—,,,,,,,,,—,—,—,—,woman: medium-light skin tone,2015,medium-light skin tone | woman
120,U+1F469 U+1F3FD,👩🏽,—,,,,,,,,,—,—,—,—,woman: medium skin tone,2015,medium skin tone | woman
121,U+1F469 U+1F3FE,👩🏾,—,,,,,,,,,—,—,—,—,woman: medium-dark skin tone,2015,medium-dark skin tone | woman
122,U+1F469 U+1F3FF,👩🏿,—,,,,,,,,,—,—,—,—,woman: dark skin tone,2015,dark skin tone | woman
123,U+1F474,👴,,,,,,,,,,,,—,,old man,2010,man | old
124,U+1F474 U+1F3FB,👴🏻,—,,,,,,,,,—,—,—,—,old man: light skin tone,2015,light skin tone | man | old
125,U+1F474 U+1F3FC,👴🏼,—,,,,,,,,,—,—,—,—,old man: medium-light skin tone,2015,man | medium-light skin tone | old
126,U+1F474 U+1F3FD,👴🏽,—,,,,,,,,,—,—,—,—,old man: medium skin tone,2015,man | medium skin tone | old
127,U+1F474 U+1F3FE,👴🏾,—,,,,,,,,,—,—,—,—,old man: medium-dark skin tone,2015,man | medium-dark skin tone | old
128,U+1F474 U+1F3FF,👴🏿,—,,,,,,,,,—,—,—,—,old man: dark skin tone,2015,dark skin tone | man | old
129,U+1F475,👵,,,,,,,,,,,,—,,old woman,2010,old | woman
130,U+1F475 U+1F3FB,👵🏻,—,,,,,,,,,—,—,—,—,old woman: light skin tone,2015,light skin tone | old | woman
131,U+1F475 U+1F3FC,👵🏼,—,,,,,,,,,—,—,—,—,old woman: medium-light skin tone,2015,medium-light skin tone | old | woman
132,U+1F475 U+1F3FD,👵🏽,—,,,,,,,,,—,—,—,—,old woman: medium skin tone,2015,medium skin tone | old | woman
133,U+1F475 U+1F3FE,👵🏾,—,,,,,,,,,—,—,—,—,old woman: medium-dark skin tone,2015,medium-dark skin tone | old | woman
134,U+1F475 U+1F3FF,👵🏿,—,,,,,,,,,—,—,—,—,old woman: dark skin tone,2015,dark skin tone | old | woman
135,U+1F476,👶,,,,,,,,,,,,—,,baby,2010,baby | young
